"","siteIDScheme","media","NSamples","minValue","meanValue","maxValue","sd","pH","TSS","TDS","Cu","Zn","conductivity"
"1699","ksm001MonitoringSite","vendor",2,0.020608,0.114632,0.208656,0.102,-7,2,994,2,3,3
"1700","ksm001MonitoringSite","river",3,8.5167,8.8078,9.24,0.3818,-4,12,899,0,1,1
"1701","ksm001MonitoringSite","river",3,33.5,54.3889,71.8333,19.3974,7,30,1028,2,1,5
"1702","ksm001MonitoringSite","borehole",3,0.00644,0.249872,0.385112,0.163,2,3,974,1,1,1
"1703","ksm002MonitoringSite","Tap",2,71,79.5,88,12.0208,7,22,1014,1,0,2
"1704","ksm001MonitoringSite","vendor",6,63.333,72.208,82,7.881,-2,15,932,1,3,4
"1705","ksm001MonitoringSite","river",5,0.006,0.01,0.014,0.002,1,16,913,1,3,1
"1706","ksm002MonitoringSite","borehole",2,0.047,0.052,0.057,0.007,-5,12,901,2,3,1
"1707","ksm001MonitoringSite","borehole",2,8.03,9.076,10.122,1.479,2,28,1036,2,2,1
"1708","ksm001MonitoringSite","vendor",2,64.142,67.738,71.333,5.084,-5,18,942,1,3,3
"1709","ksm001MonitoringSite","Tap",1,0.001288,0.001288,0.001288,0,6,12,983,0,3,3
"1710","ksm001MonitoringSite","river",2,0.063,0.065,0.068,0.003,-7,22,976,2,0,3
"1711","ksm001MonitoringSite","river",5,0.01288,0.0322,0.088872,0.025,0,13,1006,1,1,2
"1712","ksm001MonitoringSite","Tap",2,0.103,0.173,0.243,0.099,-5,18,998,1,0,1
"1713","ksm001MonitoringSite","Tap",3,40,59,88.666,26.027,-6,8,985,2,0,2
"1714","ksm001MonitoringSite","vendor",4,7.921,9.345,11.575,1.603,-5,23,971,3,3,3
"1715","ksm001MonitoringSite","river",2,0.014168,0.016744,0.020608,0.003,-3,17,1060,2,3,3
"1716","ksm001MonitoringSite","borehole",2,7.343,7.871,8.4,0.747,2,30,1026,3,1,2
"1717","ksm001MonitoringSite","vendor",3,29,62,80,28.6182,0,22,1010,2,1,3
"1718","ksm001MonitoringSite","Tap",2,56.5,61.125,65.75,6.54,-6,2,1024,3,1,0
"1719","ksm001MonitoringSite","river",3,4.82,7.4844,9.1,2.3248,1,15,1000,3,0,3
"1720","ksm001MonitoringSite","borehole",4,59,85.375,135.5,35.072,7,7,1030,0,2,0
"1721","ksm001MonitoringSite","vendor",3,0.04,0.045,0.048,0.004,1,28,902,0,2,3
"1722","ksm001MonitoringSite","Tap",2,58.2,59,59.8,1.131,-4,19,1050,1,0,2
"1723","ksm001MonitoringSite","river",5,9,9.522,10.15,0.495,-3,21,1101,3,3,4
"1724","ksm001MonitoringSite","vendor",2,0.011,0.017,0.022,0.007,4,20,1009,1,1,2
"1725","ksm001MonitoringSite","vendor",7,8.355,9.591,12.044,1.358,-2,10,939,1,3,4
"1726","ksm001MonitoringSite","river",2,76.187,78.187,80.187,2.828,-2,9,1012,3,0,4
"1727","ksm001MonitoringSite","river",4,0.052,0.06,0.072,0.008,-2,22,1064,2,2,0
"1728","ksm001MonitoringSite","borehole",1,8.7667,8.7667,8.7667,0,-3,26,1044,0,2,1
"1729","ksm001MonitoringSite","Tap",4,7.9,11.35,12.9,2.3302,-6,15,987,1,0,5
"1730","ksm001MonitoringSite","river",6,0.0053,0.0068,0.01,0.0016,-6,18,951,1,1,2
"1731","ksm002MonitoringSite","Tap",4,8,8.2,8.4,NA,6,12,1060,0,0,5
"1732","ksm001MonitoringSite","river",2,0.008,0.011,0.015,0.004,2,21,1011,0,2,3
"1733","ksm001MonitoringSite","Tap",2,0.02,0.02,0.021,0,-5,28,1104,2,1,4
"1734","ksm001MonitoringSite","vendor",3,3.28,5.7808,8.56,2.651,-2,22,1099,0,3,0
"1735","ksm001MonitoringSite","river",2,8.825,9.137,9.45,0.441,-1,9,1076,2,3,5
"1736","ksm001MonitoringSite","river",4,9.1,11.075,12.8,1.5174,-1,17,1000,1,3,1
"1737","ksm001MonitoringSite","borehole",2,0.008,0.009,0.01,0.002,-2,14,996,2,1,4
"1738","ksm001MonitoringSite","borehole",2,8.1667,9.1278,10.0889,1.3592,-1,1,1049,3,1,2
"1739","ksm001MonitoringSite","borehole",1,90.333,90.333,90.333,NA,-7,6,1048,2,3,3
"1740","ksm001MonitoringSite","borehole",1,65.555,65.555,65.555,NA,4,23,1034,3,3,5
"1741","ksm001MonitoringSite","river",2,41.5,52.625,63.75,15.733,4,21,983,2,3,4
"1742","ksm001MonitoringSite","vendor",7,83.25,86.85,94.1,3.568,4,2,1035,1,0,2
"1743","ksm001MonitoringSite","Tap",2,0.016,0.016,0.017,0,2,26,1096,0,1,1
"1744","ksm001MonitoringSite","borehole",3,52.4,70.3,91,19.451,-3,3,930,3,1,2
"1745","ksm001MonitoringSite","vendor",2,0.007,0.008,0.009,0.001,-6,3,1069,1,1,4
"1746","ksm001MonitoringSite","vendor",7,0.058,0.074,0.096,0.012,6,2,974,1,3,2
"1747","ksm001MonitoringSite","Tap",2,83.333,85.666,88,3.299,-1,6,1054,1,1,3
"1748","ksm001MonitoringSite","river",4,29.833,51.791,81.333,22.154,6,3,1020,0,0,5
"1749","ksm001MonitoringSite","Tap",11,0.037352,0.074704,0.176456,0.03,0,9,1069,2,1,4
"1750","ksm001MonitoringSite","Tap",2,0.01288,0.016744,0.020608,0.004,-4,12,1067,0,1,0
"1751","ksm001MonitoringSite","Tap",2,7.066,8.3,9.533,1.744,6,24,960,3,2,2
"1752","ksm001MonitoringSite","borehole",1,0.047656,0.047656,0.047656,NA,-6,18,1026,2,3,5
"1753","ksm001MonitoringSite","borehole",2,68.777,69.561,70.344,1.107,3,24,991,2,1,2
"1754","ksm001MonitoringSite","Tap",2,45.25,55.75,66.25,14.849,-6,4,918,3,1,1
"1755","ksm001MonitoringSite","borehole",4,8.55,9.258,10.7,1.013,2,17,923,3,3,4
"1756","ksm001MonitoringSite","borehole",2,0.009,0.01,0.011,0.001,2,8,936,0,3,2
"1757","ksm001MonitoringSite","river",1,5.5333,5.5333,5.5333,0,1,28,969,3,2,4
"1758","ksm001MonitoringSite","vendor",3,37.2,57.75,89.8,28.122,1,14,997,0,3,0
"1759","ksm002MonitoringSite","river",4,0.009,0.012,0.014,0.002,-1,12,994,0,0,2
"1760","ksm001MonitoringSite","vendor",4,0.044,0.0478,0.054,0.0046,3,13,1069,2,2,3
"1761","ksm001MonitoringSite","vendor",5,48.5,56.633,62.5,5.98,-5,24,1047,3,0,0
"1762","ksm001MonitoringSite","borehole",1,52.2222,52.2222,52.2222,0,-5,27,1050,0,3,4
"1763","ksm001MonitoringSite","vendor",6,58.5,73.444,89,14.27,-7,23,963,3,0,4
"1764","ksm001MonitoringSite","river",3,27.75,61.75,83.5,29.825,-7,29,955,2,3,3
"1765","ksm002MonitoringSite","borehole",4,70,82.5,89,8.5829,-1,28,915,0,0,3
"1766","ksm001MonitoringSite","river",2,0.014168,0.015456,0.018032,0.002,7,16,1044,0,0,2
"1767","ksm001MonitoringSite","borehole",6,60.357,82.225,96.8,16.273,-4,5,1096,0,3,3
"1768","ksm001MonitoringSite","borehole",6,0.009,0.013,0.022,0.005,4,23,1074,0,1,2
"1769","ksm001MonitoringSite","Tap",3,0.03,0.035,0.04,0.005,6,5,1100,1,3,0
"1770","ksm001MonitoringSite","river",4,0.004,0.004,0.006,0.001,4,18,1104,3,0,3
"1771","ksm001MonitoringSite","river",2,0.011,0.015,0.02,0.005,-1,1,1038,2,0,4
"1772","ksm001MonitoringSite","borehole",3,16.25,51.611,88.333,36.06,6,23,962,1,1,0
"1773","ksm001MonitoringSite","river",4,6.4,8.825,11.2,1.9598,3,19,1090,3,3,3
"1774","ksm002MonitoringSite","vendor",3,85,87.4444,91,3.1505,3,12,938,1,3,4
"1775","ksm001MonitoringSite","borehole",1,0.00644,0.00644,0.00644,NA,5,21,958,1,3,1
"1776","ksm001MonitoringSite","borehole",2,0.01,0.011,0.013,0.002,-3,7,1039,1,3,4
"1777","ksm001MonitoringSite","river",1,0.038,0.038,0.038,NA,-7,10,1060,1,3,1
"1778","ksm001MonitoringSite","vendor",1,76.8333,76.8333,76.8333,NA,6,20,1085,1,2,4
"1779","ksm001MonitoringSite","vendor",5,0.009,0.011,0.014,0.002,6,21,983,0,0,0
"1780","ksm001MonitoringSite","Tap",2,5.733,6.566,7.4,1.178,0,19,911,1,0,2
"1781","ksm001MonitoringSite","river",1,11.95,11.95,11.95,NA,2,12,905,0,2,3
"1782","ksm001MonitoringSite","borehole",2,92,95.25,98.5,4.596,-2,8,990,0,2,5
"1783","ksm001MonitoringSite","vendor",1,89,89,89,0,-3,24,907,1,0,0
"1784","ksm001MonitoringSite","Tap",4,72,79.5,87,6.455,-6,2,1061,3,3,5
"1785","ksm001MonitoringSite","river",2,6.755,7.505,8.255,1.06,3,20,971,1,3,0
"1786","ksm001MonitoringSite","borehole",2,0.001288,0.007728,0.01288,0.006,4,30,1088,3,3,5
"1787","ksm001MonitoringSite","borehole",1,0.0087,0.0087,0.0087,0,-7,28,983,3,3,0
"1788","ksm001MonitoringSite","borehole",11,2.575,4.859,8.4,1.769,0,5,1084,3,2,1
"1789","ksm001MonitoringSite","vendor",5,0.004,0.006,0.008,0.001,1,13,1036,1,1,3
"1790","ksm001MonitoringSite","river",3,0.029624,0.08372,0.162288,0.053,7,17,1033,1,1,2
"1791","ksm002MonitoringSite","Tap",8,7.7,9.45,11.733,1.296,0,9,927,3,2,4
"1792","ksm002MonitoringSite","Tap",2,0.007728,0.009016,0.011592,0.002,3,10,1053,2,1,3
"1793","ksm001MonitoringSite","borehole",2,0.01288,0.037352,0.061824,0.026,3,6,981,1,2,1
"1794","ksm001MonitoringSite","river",2,0.001288,0.001288,0.001288,0,5,30,1058,3,2,2
"1795","ksm001MonitoringSite","vendor",2,6.28,7.475,8.671,1.691,-4,7,1039,0,2,1
"1796","ksm002MonitoringSite","borehole",3,0.026,0.034,0.038,0.0069,-3,30,975,0,0,0
"1797","ksm002MonitoringSite","vendor",2,0.00644,0.061824,0.117208,0.06,5,29,1092,1,0,5
"1798","ksm001MonitoringSite","vendor",3,0.011,0.013,0.016,0.002,-5,23,1082,2,3,5
"1799","ksm001MonitoringSite","river",8,6.542,8.637,10.471,1.355,5,29,947,0,1,3
"1800","ksm001MonitoringSite","borehole",3,6.271,7.786,10.175,2.093,4,12,993,3,1,2
"1801","ksm001MonitoringSite","Tap",6,10.7,11.448,12.3,0.628,4,22,1068,0,3,1
"1802","ksm001MonitoringSite","river",2,0.0107,0.0125,0.0143,0.0026,-5,30,940,0,2,3
"1803","ksm001MonitoringSite","borehole",2,0.004,0.005,0.005,0,2,17,977,2,0,3
"1804","ksm001MonitoringSite","Tap",6,8.1667,9.3639,11.5833,1.2859,-2,4,1057,2,0,2
"1805","ksm001MonitoringSite","Tap",5,65.5,81.4,91,10.1205,2,23,982,0,3,1
"1806","ksm001MonitoringSite","vendor",1,0.0297528,0.0297528,0.0297528,NA,6,15,994,1,2,2
"1807","ksm002MonitoringSite","Tap",2,5.95,6.965,7.98,1.435,5,23,1002,3,0,0
"1808","ksm001MonitoringSite","Tap",3,0.034776,0.055384,0.073416,0.015,3,6,1020,1,0,1
"1809","ksm001MonitoringSite","borehole",1,0.122,0.122,0.122,NA,5,1,1080,3,2,2
"1810","ksm001MonitoringSite","vendor",2,0.054096,0.060536,0.066976,0.007,7,10,1075,0,1,4
"1811","ksm001MonitoringSite","vendor",2,8.183,10.483,12.783,3.252,-6,1,966,3,0,1
"1812","ksm001MonitoringSite","vendor",2,0.002576,0.029624,0.055384,0.029,4,22,970,3,1,4
"1813","ksm002MonitoringSite","borehole",4,8.6,9.425,10.2,NA,-3,10,1021,1,0,5
"1814","ksm001MonitoringSite","river",1,9.833,9.833,9.833,NA,-7,4,1035,1,2,5
"1815","ksm001MonitoringSite","Tap",3,0.013,0.016,0.02,0.003,2,22,1053,0,0,0
"1816","ksm001MonitoringSite","borehole",4,61.6,65.5875,70.5,3.7413,0,12,902,2,1,0
"1817","ksm001MonitoringSite","Tap",2,10.1,11.06,12.021,1.358,4,25,992,1,0,1
"1818","ksm002MonitoringSite","Tap",10,8.93,10.596,12.13,1.12932,2,5,1029,1,3,4
"1819","ksm001MonitoringSite","vendor",2,39.6667,60.3333,81,29.2271,-3,3,899,2,2,2
"1820","ksm001MonitoringSite","river",2,72.75,75.812,78.875,4.331,0,30,1051,0,2,0
"1821","ksm001MonitoringSite","vendor",13,35.4,61.51,102,26.116,3,16,932,0,0,4
"1822","ksm001MonitoringSite","borehole",8,1.585,5.722,11.05,3.477,-2,22,909,3,0,0
"1823","ksm001MonitoringSite","borehole",2,0.002576,0.00644,0.011592,0.004,-5,11,981,2,1,3
"1824","ksm001MonitoringSite","borehole",2,0.013,0.015,0.018,0.003,-7,30,921,0,0,4
"1825","ksm001MonitoringSite","borehole",1,0.21252,0.21252,0.21252,NA,5,10,985,1,2,1
"1826","ksm001MonitoringSite","borehole",4,64.1,71.684,83.875,8.662,0,12,1103,2,3,2
"1827","ksm001MonitoringSite","Tap",4,5.8667,7.5125,9.65,1.7115,2,23,1068,3,0,2
"1828","ksm001MonitoringSite","river",4,8.642,9.848,10.95,1.218,7,14,903,3,3,5
"1829","ksm001MonitoringSite","borehole",1,9.2625,9.2625,9.2625,NA,-4,12,1073,2,0,1
"1830","ksm001MonitoringSite","borehole",2,6.76,8.31,9.86,2.192,-3,10,932,0,1,1
"1831","ksm001MonitoringSite","river",2,8.264,8.775,9.285,0.722,6,12,1107,3,3,5
"1832","ksm001MonitoringSite","Tap",2,7.7,9.121,10.542,2.01,-6,2,965,3,0,4
"1833","ksm001MonitoringSite","vendor",1,0.101752,0.101752,0.101752,NA,1,20,1044,2,0,0
"1834","ksm001MonitoringSite","Tap",1,10.283,10.283,10.283,NA,7,13,921,1,1,2
"1835","ksm001MonitoringSite","river",1,61,61,61,NA,7,7,1041,3,1,3
"1836","ksm001MonitoringSite","vendor",2,0.005,0.005,0.006,0,-6,16,970,0,1,4
"1837","ksm001MonitoringSite","vendor",2,0.002576,0.005152,0.007728,0.002,0,9,956,1,3,4
"1838","ksm001MonitoringSite","borehole",7,48.1667,70.996,89.625,15.0888,-1,12,1021,0,0,3
"1839","ksm001MonitoringSite","borehole",3,59.6,72.466,82.8,11.805,4,6,925,2,0,4
"1840","ksm001MonitoringSite","borehole",2,0.075992,0.175168,0.274344,0.109,5,4,1024,2,0,0
"1841","ksm001MonitoringSite","borehole",3,0.08,0.1,0.134,0.02976,5,9,921,0,3,2
"1842","ksm001MonitoringSite","borehole",4,62,73.582,85.375,10.093,1,30,1049,0,1,1
"1843","ksm001MonitoringSite","Tap",2,51,70.5,90,27.5771,1,19,1035,3,0,5
"1844","ksm001MonitoringSite","vendor",3,0.031,0.049,0.064,0.016,-6,14,1039,2,3,1
"1845","ksm001MonitoringSite","borehole",5,6,8.91,10.933,2.277,0,10,992,1,2,2
"1846","ksm001MonitoringSite","borehole",2,3.75,4.6,5.45,1.2021,7,19,1062,1,1,4
"1847","ksm001MonitoringSite","Tap",2,0.016,0.018,0.02,0.003,-7,11,909,0,2,1
"1848","ksm001MonitoringSite","river",2,0.024,0.027,0.03,0.003,0,19,916,1,3,4
"1849","ksm001MonitoringSite","river",4,66.666,78,92.666,11.352,2,20,1038,2,1,3
"1850","ksm001MonitoringSite","Tap",3,0.027,0.038,0.048,0.01,-6,27,1060,2,1,3
"1851","ksm001MonitoringSite","river",2,0.006,0.007,0.007,0,-1,3,956,0,2,4
"1852","ksm002MonitoringSite","borehole",10,8.1,9.174,11.24,0.914551,-7,30,1064,3,3,2
"1853","ksm001MonitoringSite","Tap",6,70.714,77.179,82.285,3.896,-3,8,1101,1,3,2
"1854","ksm001MonitoringSite","borehole",1,0.034,0.034,0.034,NA,-1,6,988,2,1,5
"1855","ksm001MonitoringSite","vendor",1,0.022,0.022,0.022,0,-5,9,926,3,2,5
"1856","ksm001MonitoringSite","borehole",2,0.0225,0.0231,0.0237,8e-04,3,11,972,0,2,1
"1857","ksm001MonitoringSite","Tap",2,6.033,7.033,8.033,1.414,-2,24,943,2,2,1
"1858","ksm001MonitoringSite","borehole",4,0.027,0.06,0.106,0.033,-5,9,1000,3,0,3
"1859","ksm001MonitoringSite","borehole",3,0.004,0.0053,0.0065,0.0013,-3,10,1058,1,1,1
"1860","ksm001MonitoringSite","vendor",4,8.5,11.35,13.7,2.1424,7,6,904,0,2,5
"1861","ksm002MonitoringSite","Tap",2,0.02,0.025,0.03,0.007,1,16,908,1,1,5
"1862","ksm001MonitoringSite","borehole",3,7.72,9.125,10.475,1.378,-3,19,1093,1,0,2
"1863","ksm001MonitoringSite","borehole",2,0.007728,0.028336,0.048944,0.022,-1,13,1000,2,0,0
"1864","ksm001MonitoringSite","river",2,62.9,63.283,63.666,0.542,-6,5,945,2,0,5
"1865","ksm001MonitoringSite","Tap",1,9.877,9.877,9.877,NA,-5,12,952,0,0,5
"1866","ksm001MonitoringSite","vendor",2,7.4667,7.7667,8.0667,0.4243,0,4,1053,1,2,5
"1867","ksm001MonitoringSite","Tap",2,8.706,9.276,9.846,0.806,-5,3,999,2,1,0
"1868","ksm002MonitoringSite","river",3,6.1,6.633,7.5,0.757,5,1,932,0,2,4
"1869","ksm001MonitoringSite","vendor",2,6,7.787,9.575,2.527,-7,21,980,0,3,2
"1870","ksm001MonitoringSite","Tap",4,6.58,7.827,10.1,1.554,-4,10,922,1,1,3
"1871","ksm001MonitoringSite","Tap",2,8.175,9.181,10.188,1.424,-1,11,1107,1,0,0
"1872","ksm001MonitoringSite","Tap",3,0.011592,0.03864,0.054096,0.018,0,8,1079,3,3,5
"1873","ksm002MonitoringSite","vendor",12,9.48,11.5758,13.14,1.26781,7,11,923,0,1,1
"1874","ksm001MonitoringSite","vendor",8,5.175,8.432,11.475,2.116,-7,30,982,1,0,3
"1875","ksm001MonitoringSite","borehole",3,85.5,91.388,96.166,5.419,-6,16,968,1,0,3
"1876","ksm001MonitoringSite","borehole",3,10.866,11.393,11.981,0.56,3,10,961,2,2,0
"1877","ksm001MonitoringSite","river",2,0.004,0.004,0.004,0,1,12,1002,0,2,0
"1878","ksm001MonitoringSite","Tap",1,0.048,0.048,0.048,NA,2,14,1061,2,2,2
"1879","ksm001MonitoringSite","vendor",2,8.3,9.675,11.05,1.944,-5,26,1078,1,3,1
"1880","ksm001MonitoringSite","borehole",3,0.053,0.062,0.067,0.008,1,24,1009,1,2,1
"1881","ksm001MonitoringSite","vendor",2,5.525,7.637,9.75,2.987,3,14,1070,1,1,3
"1882","ksm001MonitoringSite","river",4,80.571,86.863,91.714,4.648,-3,10,975,0,1,0
"1883","ksm001MonitoringSite","Tap",5,33.2,58.2,74,17.197,-7,10,930,0,2,0
"1884","ksm001MonitoringSite","river",2,0.001288,0.01932,0.037352,0.02,2,27,1048,1,0,0
"1885","ksm001MonitoringSite","vendor",1,5.84,5.84,5.84,NA,1,26,1046,0,2,5
"1886","ksm001MonitoringSite","river",2,9.363,10.122,10.881,1.073,5,23,939,3,0,5
"1887","ksm001MonitoringSite","vendor",6,6.92,8.35,10.81,1.522,-4,8,1023,0,1,0
"1888","ksm001MonitoringSite","vendor",1,0.023,0.023,0.023,NA,3,8,1027,0,1,1
"1889","ksm001MonitoringSite","Tap",2,53.6,59.4,65.2,8.2024,-1,14,1110,0,0,0
"1890","ksm001MonitoringSite","borehole",3,8.357,9.876,10.8,1.325,-6,10,1097,1,2,0
"1891","ksm001MonitoringSite","Tap",5,0.016,0.026,0.037,0.008,-5,29,963,0,2,4
"1892","ksm001MonitoringSite","Tap",3,0.024,0.028,0.033,0.004,-5,13,1101,1,3,1
"1893","ksm001MonitoringSite","river",2,5.275,6.158,7.042,1.25,-2,6,915,2,3,2
"1894","ksm002MonitoringSite","Tap",4,9.6,9.6,11.1,NA,7,30,925,1,1,1
"1895","ksm001MonitoringSite","vendor",1,83.1429,83.1429,83.1429,0,-5,6,999,1,3,2
"1896","ksm001MonitoringSite","river",1,0.004,0.004,0.004,0,6,19,957,0,3,2
"1897","ksm001MonitoringSite","Tap",4,5.2,7.9508,9.4333,1.9123,3,22,972,3,3,2
"1898","ksm001MonitoringSite","Tap",3,0.014168,0.537096,0.870688,0.356,-2,24,1059,0,0,4
"1899","ksm001MonitoringSite","Tap",3,7.4,8.975,10.725,1.669,-1,4,967,0,2,0
"1900","ksm001MonitoringSite","river",3,54,59.75,70.25,9.107,-5,17,976,3,1,0
"1901","ksm001MonitoringSite","river",3,8.75,9.75,11.05,1.179,-1,16,906,1,1,2
"1902","ksm001MonitoringSite","river",2,0.008,0.009,0.009,0,3,30,1044,2,1,1
"1903","ksm001MonitoringSite","borehole",2,84.5,91.5,98.5,9.8995,7,4,1092,2,0,3
"1904","ksm001MonitoringSite","river",4,81,86.75,93,5.058,-6,2,1041,1,1,4
"1905","ksm001MonitoringSite","borehole",3,44.6,58.333,78.4,17.7677,2,7,1086,3,3,3
"1906","ksm001MonitoringSite","river",2,70.25,72.062,73.875,2.563,6,25,979,3,3,5
"1907","ksm001MonitoringSite","borehole",4,9.49,10.815,12.3,1.174,7,7,1053,0,2,3
"1908","ksm001MonitoringSite","borehole",3,41.5,64.166,85,21.807,7,9,952,2,2,0
"1909","ksm001MonitoringSite","river",4,76.714,90.678,100.5,10.726,-6,18,1017,0,2,1
"1910","ksm001MonitoringSite","Tap",5,0.061824,0.243432,0.896448,0.283,-1,13,1017,2,0,0
"1911","ksm001MonitoringSite","vendor",2,10.22,10.363,10.506,0.202,-3,9,1071,3,2,5
"1912","ksm001MonitoringSite","Tap",10,0.02,0.024,0.034,0.004,4,9,926,1,1,1
"1913","ksm001MonitoringSite","borehole",2,0.006,0.006,0.006,0,6,15,1029,0,1,2
"1914","ksm001MonitoringSite","borehole",7,5.133,8.404,12.475,3.616,-1,4,973,0,1,5
"1915","ksm001MonitoringSite","river",2,8.16,8.535,8.91,0.530330085889911,7,12,933,2,0,2
"1916","ksm001MonitoringSite","vendor",2,3.985,5.557,7.128,2.222,3,4,997,3,0,4
"1917","ksm001MonitoringSite","Tap",1,0.0025,0.0025,0.0025,NA,7,21,972,1,1,2
"1918","ksm001MonitoringSite","Tap",4,0.03,0.05,0.073,0.019,-2,7,976,2,3,3
"1919","ksm001MonitoringSite","borehole",5,74.125,79.102,84.444,4.614,5,3,945,0,3,4
"1920","ksm001MonitoringSite","borehole",5,5.225,8.756,12.45,3.45921,6,3,968,0,1,4
"1921","ksm001MonitoringSite","borehole",4,3.4,6.8,9.8,2.93,-6,11,1108,2,3,3
"1922","ksm001MonitoringSite","river",5,55.75,75.666,91.25,16.1204,-7,28,1020,1,3,2
"1923","ksm001MonitoringSite","vendor",4,53,80.5,113,30.038,4,8,934,0,2,0
"1924","ksm001MonitoringSite","vendor",2,77.187,79.343,81.5,3.049,4,3,1102,1,1,3
"1925","ksm001MonitoringSite","river",3,0.012,0.013,0.014,0,2,19,1066,2,1,3
"1926","ksm001MonitoringSite","vendor",5,0.009016,0.018032,0.034776,0.007,-6,14,1033,0,0,0
"1927","ksm001MonitoringSite","vendor",2,3.75,5.385,7.02,2.312,-5,5,1064,2,1,1
"1928","ksm001MonitoringSite","vendor",2,0.005152,0.010304,0.015456,0.005,-7,21,1010,1,3,1
"1929","ksm001MonitoringSite","borehole",5,12.6,13,13.3,0.2915,1,22,1057,3,3,0
"1930","ksm001MonitoringSite","vendor",1,0.014168,0.014168,0.014168,NA,-7,10,959,1,1,0
"1931","ksm001MonitoringSite","river",6,40.5,51.456,75.75,12.752,0,29,911,3,0,5
"1932","ksm001MonitoringSite","Tap",10,0.027,0.033,0.038,0.003,-3,6,1102,1,1,2
"1933","ksm001MonitoringSite","Tap",2,0.0192,0.0207,0.0223,0.0022,7,9,931,0,2,5
"1934","ksm001MonitoringSite","vendor",6,60,83.888,109,18.725,-3,19,1073,3,1,5
"1935","ksm001MonitoringSite","vendor",1,0.094024,0.094024,0.094024,NA,6,12,999,3,0,2
"1936","ksm001MonitoringSite","borehole",2,7.84,8.52,9.2,0.9617,0,12,1017,3,1,4
"1937","ksm001MonitoringSite","vendor",4,6.5,8.066,9.333,1.36,3,5,1017,2,0,0
"1938","ksm001MonitoringSite","Tap",3,0.035,0.035,0.036,0,4,6,995,0,1,3
"1939","ksm002MonitoringSite","vendor",1,91.5,91.5,91.5,NA,-4,16,1020,3,3,3
"1940","ksm001MonitoringSite","Tap",6,8.7455,11.0711,12.3714,1.4506,-4,22,1069,3,2,2
"1941","ksm001MonitoringSite","river",1,0.005,0.005,0.005,NA,6,8,1016,2,3,1
"1942","ksm001MonitoringSite","borehole",4,91,93.75,95,1.893,2,9,1070,3,2,0
"1943","ksm002MonitoringSite","river",3,0.02,0.022,0.025,0.002,-3,8,1058,0,2,5
"1944","ksm001MonitoringSite","Tap",7,7.6667,41.1905,77,30.0135,6,1,1075,1,1,3
"1945","ksm001MonitoringSite","Tap",4,0.002576,0.014168,0.024472,0.007,5,28,945,3,1,4
"1946","ksm001MonitoringSite","river",1,11.1625,11.1625,11.1625,NA,-2,28,1066,3,3,3
"1947","ksm001MonitoringSite","Tap",4,6.933,7.691,8.8,0.894,-6,8,928,3,1,0
"1948","ksm001MonitoringSite","river",2,6.71,8.56,10.41,2.616,7,7,1086,3,2,3
"1949","ksm001MonitoringSite","Tap",3,4.82,7.288,10.275,2.764,-7,24,1102,0,0,4
"1950","ksm001MonitoringSite","river",2,70.5,77.0625,83.625,9.2808,1,5,987,2,2,0
"1951","ksm001MonitoringSite","borehole",3,0.001288,0.005152,0.009016,0.002,-3,8,1068,3,1,2
"1952","ksm001MonitoringSite","vendor",4,0.008,0.0094,0.0128,0.0022,6,21,1087,3,1,5
"1953","ksm001MonitoringSite","river",2,68.071,68.964,69.857,1.262,-7,1,943,3,2,1
"1954","ksm001MonitoringSite","river",2,0.005152,0.00644,0.007728,0.001,-4,6,1059,2,3,1
"1955","ksm001MonitoringSite","vendor",1,0.0355,0.0355,0.0355,0,5,12,1051,1,3,3
"1956","ksm001MonitoringSite","river",16,66,88.5,102,9.3595,7,3,1044,3,0,2
"1957","ksm001MonitoringSite","Tap",2,66,73.5,81,10.6066,-2,15,1077,2,2,2
"1958","ksm001MonitoringSite","borehole",4,8.983,10.092,10.975,0.876,3,15,983,1,1,1
"1959","ksm001MonitoringSite","Tap",12,4.45,7.87333,10.55,1.865,2,7,916,3,2,5
"1960","ksm001MonitoringSite","borehole",4,0.027,0.038,0.048,0.00906,7,29,981,3,3,4
"1961","ksm001MonitoringSite","vendor",6,10.75,54.425,94,42.378,-1,7,904,1,3,4
"1962","ksm001MonitoringSite","river",2,9.06,9.703,10.346,0.909,1,22,969,1,2,2
"1963","ksm001MonitoringSite","river",2,64.222,68.811,73.4,6.489,-6,20,1042,2,0,3
"1964","ksm002MonitoringSite","Tap",5,10.2,10.75,11.3,NA,5,22,986,0,1,3
"1965","ksm001MonitoringSite","river",4,8.38,9.893,10.662,1.045,5,13,943,0,3,0
"1966","ksm001MonitoringSite","borehole",2,0.002576,0.00644,0.009016,0.003,-1,24,1101,2,2,2
"1967","ksm001MonitoringSite","river",2,0.011,0.013,0.015,0.002,-2,21,924,2,2,1
"1968","ksm001MonitoringSite","borehole",7,22.4,63.514,100.4,31.943,-4,18,1017,3,3,0
"1969","ksm001MonitoringSite","river",3,70.833,80,89.833,9.517,7,26,956,0,2,0
"1970","ksm001MonitoringSite","river",2,0.028,0.031,0.034,0.003,-6,14,910,1,1,1
"1971","ksm001MonitoringSite","Tap",2,4.728,5.785,6.842,1.495,5,29,1054,3,0,5
"1972","ksm001MonitoringSite","Tap",2,9.05,9.6,10.15,0.777,1,24,965,3,0,2
